query_number,query,rank,is_number,title,hybrid_score,status,relevance,notes
2,We need steel reinforcement bars for a residential building.,7,IS 18255:2023,Fibre-Reinforced Polymer (FRP) Bars for Concrete Reinforcement - Methods of Test,0.6701,Not Available,,
2,We need steel reinforcement bars for a residential building.,8,IS 9417:2018,Welding of High Strength Steel Bars for Reinforced Concrete Construction - Recommendations (Second Revision),0.6688,Current,,
2,We need steel reinforcement bars for a residential building.,9,IS 432 (Part 1):1982,Specification for Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement: Part 1 Mild Steel and Medium Tensile Steel Bars (Third revision),0.599,Current,,
2,We need steel reinforcement bars for a residential building.,10,IS 18256:2023,Solid Round Glass Fibre Reinforced Polymer (GFRP) Bars for Concrete Reinforcement - Specification,0.5789,Not Available,,
3,We need concrete blocks for building construction.,1,IS 13291:2012,Concrete block making machines - General requirements (First Revision),0.9592,Current,,
3,We need concrete blocks for building construction.,2,IS 2185 (Part 4):2008,Concrete masonry units - Specification: Part 4 preformed foam cellular concrete blocks,0.8125,Current,,
3,We need concrete blocks for building construction.,3,IS 3630:1992,Construction Of Non-load Bearing Gypsum Block Partitions - Code Of Practice,0.669,Current,,
3,We need concrete blocks for building construction.,4,IS 9893:1981,Precast Concrete Blocks For Lintels And Sills,0.6653,Current,,
3,We need concrete blocks for building construction.,5,IS 2185 (Part 1):2005,Concrete masonry units - Specification: Part 1 hollow and solid concrete blocks (Third Revision),0.6002,Current,,
3,We need concrete blocks for building construction.,6,IS 2185 (Part 2):1983,Specification for concrete masonry units: Part 2 hollow and solid lightweight concrete blocks (First Revision),0.5345,Current,,
3,We need concrete blocks for building construction.,7,IS 10360:1982,Lime-pozzolana Concrete Blocks For Paving,0.526,Current,,
3,We need concrete blocks for building construction.,8,IS 6061 (Part 3):1981,Construction of floor and roof with joists and filler blocks: Part 3 with precast hollow clay block joists and hollow clay filler blocks,0.5233,Current,,
3,We need concrete blocks for building construction.,9,IS 2572:2005,Construction of hollow and solid concrete block masonry - Code of practice (First Revision),0.5077,Current,,
3,We need concrete blocks for building construction.,10,IS 5751:1984,Specification for precast concrete coping blocks (First Revision),0.4743,Current,,
4,We need electrical cables for an industrial installation.,1,IS/IEC 62275:2018,Cable management systems - Cable ties for electrical installations,0.7274,Current,,
4,We need electrical cables for an industrial installation.,2,IS 16205 (Part 1):2017,Conduit systems for cable management: Part 1 general requirements,0.4652,Current,,
4,We need electrical cables for an industrial installation.,3,IS 16205 (Part 22):2017,Conduit Systems for Cable Management Part 22 Particular Requirements - Pilable Conduit Systems,0.4011,Current,,
4,We need electrical cables for an industrial installation.,4,IS 10242 (Part 360):2023,IEC 60092-360:2021,0.3938,Not Available,,
4,We need electrical cables for an industrial installation.,5,IS 16205 (Part 21):2017,Conduit Systems for Cable Management Part 21 Particular Requirements Rigid Conduit Systems,0.389,Current,,
4,We need electrical cables for an industrial installation.,6,IS 14494:2019,Elastomer insulated flexible cables for use in mines - Specification (First Revision),0.3881,Current,,
4,We need electrical cables for an industrial installation.,7,IS 9968 (Part 1):2025,Elastomer Insulated Cables - Specification Part 1 for Working Voltages up to and including 1100 volts(Second Revision),0.3455,Current,,
4,We need electrical cables for an industrial installation.,8,IS 10242 (Part 3/Sec 26):2023,ELECTRICAL INSTALLATION IN SHIPS Part 3 Equipment Section 26 Cables for control and instrumentation circuits 150-250 V (300 V),0.333,Current,,
4,We need electrical cables for an industrial installation.,9,IS 17039:2018,Industrial Cable Reels,0.3289,Current,,
4,We need electrical cables for an industrial installation.,10,IS 15368:2003,Cable reels for household and similar purposes,0.322,Current,,
5,We need PVC water pipes for a municipal water supply project.,1,IS 10124 (Part 1):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 1 General Requirements (Second Revision),0.8074,Current,,
5,We need PVC water pipes for a municipal water supply project.,2,IS 13592:2013,Unplasticized Polyvinyl Chloride (PVC-U) Pipes for Soil and Waste Discharge System Inside and Outside Buildings Including Ventilation and Rain Water System - Specification (First Revision),0.7974,Current,,
5,We need PVC water pipes for a municipal water supply project.,3,IS 10124 (Part 4):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 4 Specific Requirements for Caps (Second Revision),0.7956,Current,,
5,We need PVC water pipes for a municipal water supply project.,4,IS 16647:2017,Oriented Unplasticized Polyvinyl Chloride (PVC-O) Pipes for Water Supply - Specification Amendment - 2,0.785,Not Available,,
5,We need PVC water pipes for a municipal water supply project.,5,IS 10124 (Part 2):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 2 Specific Requirements for Sockets (Second Revision),0.7779,Current,,
5,We need PVC water pipes for a municipal water supply project.,6,IS 10124 (Part 5):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 5 Specific Requirements for Equal Tees (Second Revision),0.767,Current,,
5,We need PVC water pipes for a municipal water supply project.,7,IS 10124 (Part 11):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 11 Specific Requirementsfor 30 Degree Bends (Second Revision),0.7408,Current,,
5,We need PVC water pipes for a municipal water supply project.,8,IS 10124 (Part 7):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 7 Specific Requirements for Threaded Adaptors (Second Revision),0.7119,Current,,
5,We need PVC water pipes for a municipal water supply project.,9,IS 10124 (Part 12):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 12 Specific Requirementsfor 22½ Degree Bends (Second Revision),0.7086,Current,,
5,We need PVC water pipes for a municipal water supply project.,10,IS 7834 (Part 7):1987,Specification for Injection Moulded PVC Socket Fittings with Solvent Cement Joints for Water Supplies: Part 7 Specific Requirements for Unions (First Revision),0.7079,Current,,
6,We need safety helmets for construction workers.,1,SP 70:2001,Handbook on construction safety practices,0.9172,Not Available,,
6,We need safety helmets for construction workers.,2,IS 14352:2025,Miner's Safety Goggles - Specification ( First Revision ),0.8186,Current,,
6,We need safety helmets for construction workers.,3,IS 11451:1986,Recommendations for safety and health requirements relating to occupational exposure to asbestos,0.789,Current,,
6,We need safety helmets for construction workers.,4,IS 19522:2026,Safety Harness for Child to be Carried on Two Wheelers Specifications,0.7274,Not Available,,
6,We need safety helmets for construction workers.,5,IS 16814:2021 ISO 13857,SAFETY OF MACHINERY SAFETY DISTANCES TO PREVENT HAZARD ZONES BEING REACHED BY UPPER AND LOWER LIMBS,0.7223,Current,,
6,We need safety helmets for construction workers.,6,IS 16815:2026 ISO 13855,Safety of Machinery — Positioning of Safeguards with Respect to the Approach of the Human Body (First Revision),0.7206,Not Available,,
6,We need safety helmets for construction workers.,7,IS 7293:1974,Safety code for working with construction machinery,0.6875,Current,,
6,We need safety helmets for construction workers.,8,IS 16888:2018 ISO 17398,"Safety Colours and Safety Signs — Classification, Performance and Durability of Safety Signs",0.6525,Current,,
6,We need safety helmets for construction workers.,9,IS 16815:2019 ISO 13855,Safety of machinery - Positioning of safeguards with respect to the approach speeds of parts of thehuman body,0.6393,Current,,
6,We need safety helmets for construction workers.,10,IS 16807:2020 ISO 19353,Safety of Machinery - Fire Prevention and Fire Protection (First Revision),0.6124,Current,,
7,We need structural steel sections for a building project.,1,IS 17740:2022,"Isolated Towers, Masts and Poles Using Structural Steel — Code Of Practice",0.925,Not Available,,
7,We need structural steel sections for a building project.,2,IS 3039:2024,STRUCTURAL STEEL FOR CONSTRUCTION OF SHIPS - SPECIFICATION (Third revision),0.8884,Current,,
7,We need structural steel sections for a building project.,3,IS 15962:2012,Structural steels for buildings and structures with improved seismic resistance,0.8396,Not Available,,
7,We need structural steel sections for a building project.,4,IS 2062 (Part 2):2026,"Structural Steel - Part 2 - Hot Rolled Quenched and Tempered Steel Plates, Sheets, Strips and Wide Flats",0.8165,Not Available,,
7,We need structural steel sections for a building project.,5,IS 2750:1964,Specification for steel scaffoldings,0.801,Current,,
7,We need structural steel sections for a building project.,6,IS 4014 (Part 1):1967,Code of practice for steel tubular scaffolding: Part 1 definitions and materials,0.6876,Current,,
7,We need structural steel sections for a building project.,7,IS 1252:2025,Hot Rolled Steel Sections for Shipbuilding - Dimensions and Tolerances,0.6001,Current,,
7,We need structural steel sections for a building project.,8,IS 15911:2010,Structural steel (Ordinary Quality) - Specification,0.5903,Current,,
7,We need structural steel sections for a building project.,9,IS 801:1975,Code of practice for use of cold - Formed light gauge steel structural members in general building construction(First Revision),0.5814,Current,,
7,We need structural steel sections for a building project.,10,IS 800:2007,General construction in steel - Code of practice (Third Revision),0.5801,Current,,
8,We need ceramic tiles for flooring in a commercial building.,1,IS 13630 (Part 2):2019,"Ceramic Tiles - Methods of Test, Sampling and Basis for Acceptance Part 2 Determination of Water Absorption and Bulk Density (Second Revision)",0.825,Current,,
8,We need ceramic tiles for flooring in a commercial building.,2,IS 13630 (Part 3):2019,"Ceramic Tiles - Methods of Test, Sampling and Basis for Acceptance Part 3 Determination of Moisture Expansion Using Boiling Water (Second Revision)",0.8142,Current,,
8,We need ceramic tiles for flooring in a commercial building.,3,IS 1237:2012,Cement Concrete Flooring Tiles - Specification (Second Revision),0.6985,Current,,
8,We need ceramic tiles for flooring in a commercial building.,4,IS 13801:2013,Chequered Cement Concrete Tiles - Specification (First Revision),0.5315,Current,,
8,We need ceramic tiles for flooring in a commercial building.,5,IS 12830:1989,Rubber based adhesives for fixing pvc tiles to cement - Specification,0.432,Current,,
8,We need ceramic tiles for flooring in a commercial building.,6,IS 7779 (Part 2/Sec 3):1979,Schedule for Properties and Availability of Stones for Construction Purposes - Part II : Maharashtra State - Section 3 : Engineering Properties of Stone Aggregates,0.432,Current,,
8,We need ceramic tiles for flooring in a commercial building.,7,IS 7779 (Part 3/Sec 3):1980,Schedule for Properties and Availability of Stones for Construction Purposes - Part III : TamilNadu State - Section 3 : Engineering Properties of Stone Aggregates,0.406,Current,,
8,We need ceramic tiles for flooring in a commercial building.,8,IS 7779 (Part 3/Sec 2):1980,Schedule for Properties and Availability of Stones for Construction Purposes - Part III : TamilNadu State - Section 2 : Engineering Properties of Building Stones,0.381,Current,,
8,We need ceramic tiles for flooring in a commercial building.,9,IS 7779 (Part 5/Sec 1 to 3):1997,Schedule for Properties and Availability of Stones for Construction Purposes - Part 5 : Andhra Pradesh State - Sections 1 to 3,0.3609,Current,,
8,We need ceramic tiles for flooring in a commercial building.,10,IS 7779 (Part 1/Sec 3):1975,Schedule for properties and availability of stones for construction purposes: Part I Gujarat state: Section 3 Engineering properties of stone aggregates,0.3588,Current,,
9,We need drinking water quality standards for a water supply project.,1,IS 17614 (Part 5):2021 ISO 5667-5,WATER QUALITY - SAMPLING Part 5 Guidance on sampling of drinking water from treatment works and piped distribution systems,0.825,Current,,
9,We need drinking water quality standards for a water supply project.,2,IS 17482:2020,Drinking Water Supply Management System — Requirements for Piped Drinking Water Supply Service,0.6353,Current,,
9,We need drinking water quality standards for a water supply project.,3,IS 17614 (Part 14):2021 ISO 5667-14,Water Quality Sampling Part 14: Guidance on Quality Assurance and Quality Control of Environmental Water Sampling and Handling,0.6338,Current,,
9,We need drinking water quality standards for a water supply project.,4,IS 17614 (Part 24):2021 ISO 5667-24,Water Quality Sampling Part 24: Guidance on the Auditing of Water Quality sampling,0.5951,Current,,
9,We need drinking water quality standards for a water supply project.,5,IS 17614 (Part 3):2024,Water Quality Sampling Part 3 Preservation and Handling of Water Samples First Revision,0.5904,Current,,
9,We need drinking water quality standards for a water supply project.,6,IS 18283:2023,Portable Field Testing Kit for Onsite Testing of Drinking Water - Specification,0.5802,Not Available,,
9,We need drinking water quality standards for a water supply project.,7,IS 17614 (Part 22):2021 ISO 5667-22,Water Quality Sampling Part 22 Guidance on the Design and Installation of Groundwater Monitoring Points,0.5405,Current,,
9,We need drinking water quality standards for a water supply project.,8,IS 16633:2017 ISO 24512,Activities relating to drinking water and wastewater services - Guidelines for the management of drinking water utilities and for the assessment of drinking water services,0.5371,Current,,
9,We need drinking water quality standards for a water supply project.,9,IS 13969 (Part 11):2018 ISO 5667-11,Water quality - Sampling: Part 11 guidance on sampling of groundwaters (First Revision),0.537,Current,,
9,We need drinking water quality standards for a water supply project.,10,IS 17614 (Part 6):2021 ISO 5667-6,WATER QUALITY - SAMPLING Part 6 Guidance on sampling of rivers and streams,0.5353,Current,,
10,We need welding electrodes for fabrication work.,1,IS 19497:2026,Carbon and Low-Alloy Steel Wire Rods for Submerged Arc Welding and Gas Shielded Arc Welding Electrodes - Specification,0.862,Not Available,,
10,We need welding electrodes for fabrication work.,2,IS 17816 (Part 1):2022,IEC 62135-1 : 2015,0.7728,Not Available,,
10,We need welding electrodes for fabrication work.,3,IS 1395:1982,Specification for low and medium alloy steel covered electrodes for manual metal arc welding (Third Revision,0.7649,Current,,
10,We need welding electrodes for fabrication work.,4,IS 2879:1998,Mild steel for metal arc welding electrodes - Specification (Third Revision),0.7618,Current,,
10,We need welding electrodes for fabrication work.,5,IS 15769:2008,Flux cored (Tubular) electrodes for gas shielded and self - Shielded metal welding of carbon or carbon - Manganese steel,0.7522,Current,,
10,We need welding electrodes for fabrication work.,6,IS 10178:1995,Co2 gas shielded metal - Arc welding of structural steels - Recommendations (First Revision),0.7484,Current,,
10,We need welding electrodes for fabrication work.,7,IS 16278 (Part 2):2018 ISO 15011-2,"Health and Safety in Welding and Allied Processes à¢â‚¬” Laboratory Method for Sampling Fume and Gases Part 2 Determination of the Emission Rates of Carbon Monoxide (CO), Carbon Dioxide (CO2), Nitrogen Monoxide (NO) and Nitrogen Dioxide (NO2) During Arc Welding, Cutting and Gouging",0.6994,Current,,
10,We need welding electrodes for fabrication work.,8,IS 9857:1990,Welding cables - Specification (First Revision),0.6743,Current,,
10,We need welding electrodes for fabrication work.,9,IS 10631:1983,Specification for stainless steel for welding electrode core wire,0.6204,Current,,
10,We need welding electrodes for fabrication work.,10,IS 16278 (Part 1):2014 ISO 15011-1,Health and safety in welding and allied processes - Laboratory method for sampling fumes and gases: Part 1 determination of fume emission rate during arc welding and collection of fumes for analysis,0.6142,Current,,
11,We need fire extinguishers for an industrial facility.,1,IS/IEC 60079 (Part 35/Sec 1):2011,Explosive Atmospheres Part 35 Caplights for Use in Mines Susceptible to Firedamp Section 1 General requirements - Construction and testing in Relation to the risk of explosion,0.8234,Current,,
11,We need fire extinguishers for an industrial facility.,2,IS 18990:2024,ISO/TR 22053:2021,0.8039,Not Available,,
11,We need fire extinguishers for an industrial facility.,3,IS 18271:2023,Fire Safety in Commercial Kitchen - Guidelines,0.796,Not Available,,
11,We need fire extinguishers for an industrial facility.,4,IS 15683:2018,Portable Fire Extinguishers — Performance and Construction — Specification ( First Revision ),0.7948,Current,,
11,We need fire extinguishers for an industrial facility.,5,IS 16724:2018,"Explosive atmospheres - Electrical installations design, selection and erection",0.7489,Current,,
11,We need fire extinguishers for an industrial facility.,6,IS 3034:1993,Fire Safety of Industrial Buildings: Electrical Generating and Distributing Stations - Code of Practice (Second Revision),0.6039,Current,,
11,We need fire extinguishers for an industrial facility.,7,IS 15394:2003,Fire Safety in Petroleum Refineries and Fertilizer Plants - Code of Practice,0.5598,Current,,
11,We need fire extinguishers for an industrial facility.,8,IS 11457 (Part 1):1985,Code of practice for fire safety of chemical industries: Part 1 rubber and plastic,0.5223,Current,,
11,We need fire extinguishers for an industrial facility.,9,IS 16018:2012,Wheeled fire extinguishers - Performance and construction - Specification,0.5023,Current,,
11,We need fire extinguishers for an industrial facility.,10,IS 16724:2026,IEC 60079 (Part 14):2024,0.4971,Not Available,,
12,We need stainless steel sheets for equipment manufacturing.,1,IS 15104 (Part 2):2002 ISO 8442-2,Materials and articles in contact with foodstuffs - Cutlery and table holloware: Part 2 requirements for stainless steel and silver - Plated cutlery,0.937,Current,,
12,We need stainless steel sheets for equipment manufacturing.,2,IS 19472:2026,Steel Sheets and Strips for Hot Stamping Applications - Specification,0.9024,Not Available,,
12,We need stainless steel sheets for equipment manufacturing.,3,IS 412:1975,Specification for expanded metal steel sheets for general purposes (Second Revision),0.8868,Current,,
12,We need stainless steel sheets for equipment manufacturing.,4,IS 15997:2012,"Low nickel austenitic stainless steel plate, sheet, and strip for utensils and kitchen appliances - Specification",0.773,Current,,
12,We need stainless steel sheets for equipment manufacturing.,5,IS 18809:2024,Wear and abrasion resistant steel sheet and plate - Specification Amendment-1,0.7725,Not Available,,
12,We need stainless steel sheets for equipment manufacturing.,6,IS 18385:2023,Hot- Dip galvanized/galvannealed Steels Sheet and strips for Automotive Applications- Specification,0.7083,Current,,
12,We need stainless steel sheets for equipment manufacturing.,7,IS 3024:2015,Cold Rolled Grain Oriented Electrical Steel Strip and Sheet Delivered in Fully Processed State (Third Revision),0.7063,Current,,
12,We need stainless steel sheets for equipment manufacturing.,8,IS 2507:2026,Cold-reduced carbon and alloy steel sheets and strips - Specification,0.6962,Not Available,,
12,We need stainless steel sheets for equipment manufacturing.,9,IS 10632 (Part 3):1983,"Specification for non magnetic stainless steels for electrical applications: Part 3 specific requirements for sheets, strips and plates",0.5983,Current,,
12,We need stainless steel sheets for equipment manufacturing.,10,IS 2385:1977,Specification for hot - Rolled mild steel sheet and strip in coil form for cold - Reduced tinplate and cold -Reduced blackplate (First Revision),0.5337,Current,,
13,We need packaged drinking water for commercial supply.,1,IS 14543:2024,Packaged Drinking Water Other than Packaged Natural Mineral Water Specification Third Revision,0.7975,Current,,
13,We need packaged drinking water for commercial supply.,2,IS 19757:2026,Alternative Drinking Water Service Provision During a Crisis — Guidelines,0.775,Not Available,,
13,We need packaged drinking water for commercial supply.,3,IS 13428:2024,PACKAGED NATURAL MINERAL WATER - SPECIFICATION Third Revision,0.7554,Current,,
13,We need packaged drinking water for commercial supply.,4,IS 15410:2025,PLASTIC BOTTLES/CONTAINERS FOR PACKAGING OF NATURAL MINERAL WATER AND PACKAGED DRINKING WATER - SPECIFICATION(first revision),0.6902,Current,,
13,We need packaged drinking water for commercial supply.,5,IS 15609:2005,Polyethylene flexible pouches for the packing of natural mineral water and packaged drinking water - Specification,0.6761,Current,,
13,We need packaged drinking water for commercial supply.,6,IS 18283:2023,Portable Field Testing Kit for Onsite Testing of Drinking Water - Specification,0.6446,Not Available,,
13,We need packaged drinking water for commercial supply.,7,IS 14660 (Part 2):1999 ISO 5620-2,Shipbuilding - Filling connection for drinking water tanks: Part 2 components,0.6437,Current,,
13,We need packaged drinking water for commercial supply.,8,IS 18182:2023,Management of Assets in Drinking Water Supply System - Guidelines,0.6334,Not Available,,
13,We need packaged drinking water for commercial supply.,9,IS 14660 (Part 1):1999 ISO 5620-1,Shipbuilding - Filling connection for . drinking water tanks: Part 1 general requirements,0.5845,Current,,
13,We need packaged drinking water for commercial supply.,10,IS 16633:2017 ISO 24512,Activities relating to drinking water and wastewater services - Guidelines for the management of drinking water utilities and for the assessment of drinking water services,0.5789,Current,,
14,We need road construction materials and bitumen.,1,IS 15808:2008,Multi - Grade bitumen for use in pavement construction - Specification Amendment - 1,0.835,Current,,
14,We need road construction materials and bitumen.,2,IS/ISO 15642:2003,Road construction and maintenance equipment - Asphalt mixing plants - Rminology and commercial specifications,0.6979,Current,,
14,We need road construction materials and bitumen.,3,IS/ISO 15878:2008,Road Construction and Maintenance Equipment - Asphalt Pavers - Terminology and Commercial Specifications,0.6086,Current,,
14,We need road construction materials and bitumen.,4,IS/ISO 22242:2005,Road construction and road maintenance machinery and equipment - Basic types - Identification and description,0.5651,Current,,
14,We need road construction materials and bitumen.,5,IS 1322:1993,Bitumen Felts for Water Proofing and Damp-proofing - Specification (Fourth Revision),0.557,Current,,
14,We need road construction materials and bitumen.,6,IS/ISO 16039:2004,Road construction and maintenance equipment - Slipform pavers - Definitions and commercial specifications,0.5205,Current,,
14,We need road construction materials and bitumen.,7,IS 1838 (Part 1):1983,preformed fillers for expansion joint in concrete pavement and structures (non extruding and resilient type): Part 1 Bitumen impregnated fibre - Specification,0.5089,Current,,
14,We need road construction materials and bitumen.,8,IS 19765:2026 ISO 15878,Road Construction and Maintenance Equipment — Pavers-finishers — Commercial Specifications ( First Revision ),0.473,Not Available,,
14,We need road construction materials and bitumen.,9,IS/ISO 15643:2020,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT - BITUMINOUS BINDER SPRAYERS AND SYNCHRONOUS BITUMINOUS BINDER SPRAYERS-CHIP SPREADERS - TERMINOLOGY AND COMMERCIAL SPECIFICATIONS,0.3949,Not Available,,
14,We need road construction materials and bitumen.,10,IS/ISO 15645:2018,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT - ROAD MILLING MACHINERY - TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15645 ),0.3804,Not Available,,
15,We need cement concrete pavement materials for road construction.,1,IS 6461 (Part 2):2024,Cement Concrete - Glossary of terms : Part 2 Materials Other than Cement and Aggregate (First Revision),0.8862,Current,,
15,We need cement concrete pavement materials for road construction.,2,IS 6461 (Part 5):2024,Cement Concrete - Glossary of Terms : Part 5 Formwork for Concrete (First Revision),0.666,Current,,
15,We need cement concrete pavement materials for road construction.,3,IS 9142 (Part 1):2018,Artificial Lightweight Aggregate for Concrete - Specification: Part 1 For Concrete Masonry Blocks andfor applications other than for Structural Concrete (First Revision),0.5819,Current,,
15,We need cement concrete pavement materials for road construction.,4,IS 1237:2012,Cement Concrete Flooring Tiles - Specification (Second Revision),0.5248,Current,,
15,We need cement concrete pavement materials for road construction.,5,IS 6461 (Part 8):2024,Cement Concrete - Glossary of Terms : Part 8 Properties of Concrete (First Revision),0.5223,Current,,
15,We need cement concrete pavement materials for road construction.,6,IS 6461 (Part 4):2024,Cement Concrete - Glossary of Terms : Part 4 Types of Concrete (First Revision),0.4865,Current,,
15,We need cement concrete pavement materials for road construction.,7,IS 6461 (Part 3):2024,Cement Concrete - Glossary of Terms : Part 3 Concrete Reinforcement (First Revision),0.4156,Current,,
15,We need cement concrete pavement materials for road construction.,8,SP 34:1987,Handbook on Concrete Reinforcement and Detailing,0.4106,Not Available,,
15,We need cement concrete pavement materials for road construction.,9,IS 6461 (Part 1):2024,Cement Concrete - Glossary of terms : Part 1 Concrete Aggregates (First Revision),0.3974,Current,,
15,We need cement concrete pavement materials for road construction.,10,IS 6461 (Part 12):2024,Cement Concrete - Glossary of Terms : Part 12 Miscellaneous Terms (First Revision),0.3728,Current,,
16,We need industrial protective gloves for workers.,1,IS 10667:2025,Selection of Industrial Safety Equipment for Protection of Foot and Leg - Guide ( First Revision ),0.975,Current,,
16,We need industrial protective gloves for workers.,2,IS 16835 (Part 3):2018 ISO 13856-3,"Safety of machinery - Pressure - Sensitive protective devices: Part 3 general principlesfor design and testing of pressure - Sensitive bumpers, plates, wires and similar devices",0.6799,Current,,
16,We need industrial protective gloves for workers.,3,IS 15298 (Part 8):2004 ISO 8782-2,"Safety, protective and occupational footwear for professional use: Part 8 additional specification for occupational footwear",0.6473,Current,,
16,We need industrial protective gloves for workers.,4,IS 15298 (Part 5):2004 ISO 8782-5,"Safety, protective and occupational footwear for professional use: Part 5 additional requirements and test methods",0.6106,Current,,
16,We need industrial protective gloves for workers.,5,IS 16835 (Part 1):2018 ISO 13856-1,Safety of machinery - Pressure - Sensitive protective devices: Part 1 general principlesfor design and testing of pressure - Sensitive mats and pressure - Sensitive floors,0.6033,Current,,
16,We need industrial protective gloves for workers.,6,IS 16835 (Part 2):2018 ISO 13856-2,Safety of machinery - Pressure - Sensitive protective devices: Part 2 general principlesfor design and testing of pressure - Sensitive edges and pressure - Sensitive bars,0.5549,Current,,
16,We need industrial protective gloves for workers.,7,IS 16912:2018 ISO 21469,Safety of machinery — Lubricants with incidental product contact — Hygiene requirements,0.5446,Current,,
16,We need industrial protective gloves for workers.,8,IS 16814:2021 ISO 13857,SAFETY OF MACHINERY SAFETY DISTANCES TO PREVENT HAZARD ZONES BEING REACHED BY UPPER AND LOWER LIMBS,0.5164,Current,,
16,We need industrial protective gloves for workers.,9,IS 16808:2018 ISO 14159,Safety of machinery - Hygiene requirements for the design of machinery,0.5073,Current,,
16,We need industrial protective gloves for workers.,10,IS 15298 (Part 7):2004 ISO 8782-1,"Safety, protective and occupational footwear for professional use: Part 7 additional specifications for protective footwear",0.4989,Current,,
17,We need LED lighting equipment for a commercial building.,1,IS 16103 (Part 1):2025,LED Modules for General Lighting Part 1 Safety Specifications (First Revision),0.9374,Current,,
17,We need LED lighting equipment for a commercial building.,2,IS 16106:2012,Method of electrical and photometric measurements of solid state lighting (Led) products,0.6525,Current,,
17,We need LED lighting equipment for a commercial building.,3,IS 16108 (Part 2):2018,Photobiological safety of lamps and lamp systems: Part 2 guidance on manufacturing requirements relating to non - Laser optical radiation safety,0.6146,Current,,
17,We need LED lighting equipment for a commercial building.,4,IS 16102 (Part 1):2012,Self - Ballasted led lamps for general lighting services: Part 1 safety requirements,0.6038,Current,,
17,We need LED lighting equipment for a commercial building.,5,IS 1332:1986,precast reinforced concrete street lighting poles,0.5668,Current,,
17,We need LED lighting equipment for a commercial building.,6,IS 16108 (Part 3):2018,Photobiological safety of lamps and lamp systems: Part 3 guidelines for the safe use of intense pulsed light source equipment on humans,0.5572,Current,,
17,We need LED lighting equipment for a commercial building.,7,IS 2193:1986,Precast Prestressed Concrete Street Lighting Poles,0.5019,Current,,
