query_number,query,rank,is_number,title,hybrid_score,status,relevance,notes
2,We need steel reinforcement bars for a residential building.,4,IS 2090:1983,Specification for High Tensile Steel Bars Used in Prestressed Concrete (First Revision),0.8152,Current,Partially Relevant,Prestressed concrete steel bars differ from ordinary reinforcement.
2,We need steel reinforcement bars for a residential building.,5,IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification (Fourth Revision),0.7219,Current,Relevant,Direct high-strength steel reinforcement bar specification.
2,We need steel reinforcement bars for a residential building.,6,IS 432 (Part 1):2026,Specification for Mild Steel And Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement Part 1 Mild Steel and Medium Tensile Steel Bars Fourth Revision,0.6772,Not Available,Relevant,Direct mild/medium tensile reinforcement bar specification.
2,We need steel reinforcement bars for a residential building.,7,IS 18255:2023,Fibre-Reinforced Polymer (FRP) Bars for Concrete Reinforcement - Methods of Test,0.6701,Not Available,Partially Relevant,FRP reinforcement is an alternative material.
2,We need steel reinforcement bars for a residential building.,8,IS 9417:2018,Welding of High Strength Steel Bars for Reinforced Concrete Construction - Recommendations (Second Revision),0.6688,Current,Partially Relevant,Welding guidance for reinforcement bars.
2,We need steel reinforcement bars for a residential building.,9,IS 432 (Part 1):1982,Specification for Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement: Part 1 Mild Steel and Medium Tensile Steel Bars (Third revision),0.599,Current,Relevant,Direct mild/medium tensile reinforcement bar specification.
2,We need steel reinforcement bars for a residential building.,10,IS 18256:2023,Solid Round Glass Fibre Reinforced Polymer (GFRP) Bars for Concrete Reinforcement - Specification,0.5789,Not Available,Partially Relevant,GFRP reinforcement is an alternative material.
3,We need concrete blocks for building construction.,1,IS 13291:2012,Concrete block making machines - General requirements (First Revision),0.9592,Current,Not Relevant,"Standard is for block-making machines, not blocks."
3,We need concrete blocks for building construction.,2,IS 2185 (Part 4):2008,Concrete masonry units - Specification: Part 4 preformed foam cellular concrete blocks,0.8125,Current,Relevant,Direct concrete masonry block specification.
3,We need concrete blocks for building construction.,3,IS 3630:1992,Construction Of Non-load Bearing Gypsum Block Partitions - Code Of Practice,0.669,Current,Not Relevant,Gypsum block partitions are different from concrete blocks.
3,We need concrete blocks for building construction.,4,IS 9893:1981,Precast Concrete Blocks For Lintels And Sills,0.6653,Current,Partially Relevant,Specific precast blocks for lintels and sills.
3,We need concrete blocks for building construction.,5,IS 2185 (Part 1):2005,Concrete masonry units - Specification: Part 1 hollow and solid concrete blocks (Third Revision),0.6002,Current,Relevant,Direct hollow and solid concrete block specification.
3,We need concrete blocks for building construction.,6,IS 2185 (Part 2):1983,Specification for concrete masonry units: Part 2 hollow and solid lightweight concrete blocks (First Revision),0.5345,Current,Partially Relevant,Lightweight concrete blocks are a specialized variant.
3,We need concrete blocks for building construction.,7,IS 10360:1982,Lime-pozzolana Concrete Blocks For Paving,0.526,Current,Partially Relevant,Concrete blocks for paving rather than general building blocks.
3,We need concrete blocks for building construction.,8,IS 6061 (Part 3):1981,Construction of floor and roof with joists and filler blocks: Part 3 with precast hollow clay block joists and hollow clay filler blocks,0.5233,Current,Partially Relevant,Filler blocks for floor and roof construction.
3,We need concrete blocks for building construction.,9,IS 2572:2005,Construction of hollow and solid concrete block masonry - Code of practice (First Revision),0.5077,Current,Relevant,Direct code for hollow and solid concrete block masonry.
3,We need concrete blocks for building construction.,10,IS 5751:1984,Specification for precast concrete coping blocks (First Revision),0.4743,Current,Partially Relevant,Specific precast coping blocks.
4,We need electrical cables for an industrial installation.,1,IS/IEC 62275:2018,Cable management systems - Cable ties for electrical installations,0.7274,Current,Partially Relevant,"Cable ties are cable-management accessories, not cables."
4,We need electrical cables for an industrial installation.,2,IS 16205 (Part 1):2017,Conduit systems for cable management: Part 1 general requirements,0.4652,Current,Partially Relevant,Conduit system for cable management.
4,We need electrical cables for an industrial installation.,3,IS 16205 (Part 22):2017,Conduit Systems for Cable Management Part 22 Particular Requirements - Pilable Conduit Systems,0.4011,Current,Partially Relevant,Specific conduit system for cable management.
4,We need electrical cables for an industrial installation.,4,IS 10242 (Part 360):2023,IEC 60092-360:2021,0.3938,Not Available,Partially Relevant,Electrical installation standard may relate to cables in ships.
4,We need electrical cables for an industrial installation.,5,IS 16205 (Part 21):2017,Conduit Systems for Cable Management Part 21 Particular Requirements Rigid Conduit Systems,0.389,Current,Partially Relevant,"Rigid conduit system, not the cable itself."
4,We need electrical cables for an industrial installation.,6,IS 14494:2019,Elastomer insulated flexible cables for use in mines - Specification (First Revision),0.3881,Current,Relevant,Direct specification for elastomer insulated cables.
4,We need electrical cables for an industrial installation.,7,IS 9968 (Part 1):2025,Elastomer Insulated Cables - Specification Part 1 for Working Voltages up to and including 1100 volts(Second Revision),0.3455,Current,Relevant,Direct specification for elastomer insulated cables.
4,We need electrical cables for an industrial installation.,8,IS 10242 (Part 3/Sec 26):2023,ELECTRICAL INSTALLATION IN SHIPS Part 3 Equipment Section 26 Cables for control and instrumentation circuits 150-250 V (300 V),0.333,Current,Partially Relevant,Cable specification for ship electrical installations.
4,We need electrical cables for an industrial installation.,9,IS 17039:2018,Industrial Cable Reels,0.3289,Current,Partially Relevant,Cable reels are equipment for handling cables.
4,We need electrical cables for an industrial installation.,10,IS 15368:2003,Cable reels for household and similar purposes,0.322,Current,Not Relevant,"Cable reels for household purposes, not industrial cable procurement."
5,We need PVC water pipes for a municipal water supply project.,1,IS 10124 (Part 1):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 1 General Requirements (Second Revision),0.8074,Current,Partially Relevant,"Potable-water PVC fittings, not pipes."
5,We need PVC water pipes for a municipal water supply project.,2,IS 13592:2013,Unplasticized Polyvinyl Chloride (PVC-U) Pipes for Soil and Waste Discharge System Inside and Outside Buildings Including Ventilation and Rain Water System - Specification (First Revision),0.7974,Current,Not Relevant,PVC-U pipe is for soil/waste discharge rather than water supply.
5,We need PVC water pipes for a municipal water supply project.,3,IS 10124 (Part 4):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 4 Specific Requirements for Caps (Second Revision),0.7956,Current,Partially Relevant,Potable-water PVC fitting.
5,We need PVC water pipes for a municipal water supply project.,4,IS 16647:2017,Oriented Unplasticized Polyvinyl Chloride (PVC-O) Pipes for Water Supply - Specification Amendment - 2,0.785,Not Available,Relevant,Direct PVC-O pipe specification for water supply.
5,We need PVC water pipes for a municipal water supply project.,5,IS 10124 (Part 2):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 2 Specific Requirements for Sockets (Second Revision),0.7779,Current,Partially Relevant,Potable-water PVC fitting.
5,We need PVC water pipes for a municipal water supply project.,6,IS 10124 (Part 5):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 5 Specific Requirements for Equal Tees (Second Revision),0.767,Current,Partially Relevant,Potable-water PVC fitting.
5,We need PVC water pipes for a municipal water supply project.,7,IS 10124 (Part 11):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 11 Specific Requirementsfor 30 Degree Bends (Second Revision),0.7408,Current,Partially Relevant,Potable-water PVC fitting.
5,We need PVC water pipes for a municipal water supply project.,8,IS 10124 (Part 7):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 7 Specific Requirements for Threaded Adaptors (Second Revision),0.7119,Current,Partially Relevant,Potable-water PVC fitting.
5,We need PVC water pipes for a municipal water supply project.,9,IS 10124 (Part 12):2009,Fabricated PVC-U Fittings for Potable Water Supplies - Specification: Part 12 Specific Requirementsfor 22½ Degree Bends (Second Revision),0.7086,Current,Partially Relevant,Potable-water PVC fitting.
5,We need PVC water pipes for a municipal water supply project.,10,IS 7834 (Part 7):1987,Specification for Injection Moulded PVC Socket Fittings with Solvent Cement Joints for Water Supplies: Part 7 Specific Requirements for Unions (First Revision),0.7079,Current,Partially Relevant,PVC fitting for water supplies.
6,We need safety helmets for construction workers.,1,SP 70:2001,Handbook on construction safety practices,0.9172,Not Available,Partially Relevant,"Construction safety handbook, but not helmet specification."
6,We need safety helmets for construction workers.,2,IS 14352:2025,Miner's Safety Goggles - Specification ( First Revision ),0.8186,Current,Not Relevant,"Safety goggles, not helmets."
6,We need safety helmets for construction workers.,3,IS 11451:1986,Recommendations for safety and health requirements relating to occupational exposure to asbestos,0.789,Current,Not Relevant,"Asbestos exposure safety, not helmets."
6,We need safety helmets for construction workers.,4,IS 19522:2026,Safety Harness for Child to be Carried on Two Wheelers Specifications,0.7274,Not Available,Not Relevant,"Child two-wheeler safety harness, unrelated to construction helmets."
6,We need safety helmets for construction workers.,5,IS 16814:2021 ISO 13857,SAFETY OF MACHINERY SAFETY DISTANCES TO PREVENT HAZARD ZONES BEING REACHED BY UPPER AND LOWER LIMBS,0.7223,Current,Not Relevant,"Machinery safety distances, not helmets."
6,We need safety helmets for construction workers.,6,IS 16815:2026 ISO 13855,Safety of Machinery — Positioning of Safeguards with Respect to the Approach of the Human Body (First Revision),0.7206,Not Available,Not Relevant,"Machinery safeguard positioning, not helmets."
6,We need safety helmets for construction workers.,7,IS 7293:1974,Safety code for working with construction machinery,0.6875,Current,Partially Relevant,Construction machinery safety code.
6,We need safety helmets for construction workers.,8,IS 16888:2018 ISO 17398,"Safety Colours and Safety Signs — Classification, Performance and Durability of Safety Signs",0.6525,Current,Partially Relevant,Safety signs and colours support workplace safety.
6,We need safety helmets for construction workers.,9,IS 16815:2019 ISO 13855,Safety of machinery - Positioning of safeguards with respect to the approach speeds of parts of thehuman body,0.6393,Current,Not Relevant,"Machinery safeguard positioning, not helmets."
6,We need safety helmets for construction workers.,10,IS 16807:2020 ISO 19353,Safety of Machinery - Fire Prevention and Fire Protection (First Revision),0.6124,Current,Not Relevant,"Machinery fire prevention, not helmets."
7,We need structural steel sections for a building project.,1,IS 17740:2022,"Isolated Towers, Masts and Poles Using Structural Steel — Code Of Practice",0.925,Not Available,Not Relevant,"Structural steel for towers, masts and poles."
7,We need structural steel sections for a building project.,2,IS 3039:2024,STRUCTURAL STEEL FOR CONSTRUCTION OF SHIPS - SPECIFICATION (Third revision),0.8884,Current,Not Relevant,Structural steel for ship construction.
7,We need structural steel sections for a building project.,3,IS 15962:2012,Structural steels for buildings and structures with improved seismic resistance,0.8396,Not Available,Relevant,Structural steel specifically for buildings and structures.
7,We need structural steel sections for a building project.,4,IS 2062 (Part 2):2026,"Structural Steel - Part 2 - Hot Rolled Quenched and Tempered Steel Plates, Sheets, Strips and Wide Flats",0.8165,Not Available,Partially Relevant,"Structural steel plates/sheets/strips, not general sections."
7,We need structural steel sections for a building project.,5,IS 2750:1964,Specification for steel scaffoldings,0.801,Current,Not Relevant,Steel scaffolding specification.
7,We need structural steel sections for a building project.,6,IS 4014 (Part 1):1967,Code of practice for steel tubular scaffolding: Part 1 definitions and materials,0.6876,Current,Not Relevant,Steel tubular scaffolding.
7,We need structural steel sections for a building project.,7,IS 1252:2025,Hot Rolled Steel Sections for Shipbuilding - Dimensions and Tolerances,0.6001,Current,Not Relevant,Steel sections for shipbuilding.
7,We need structural steel sections for a building project.,8,IS 15911:2010,Structural steel (Ordinary Quality) - Specification,0.5903,Current,Relevant,Structural steel specification for general use.
7,We need structural steel sections for a building project.,9,IS 801:1975,Code of practice for use of cold - Formed light gauge steel structural members in general building construction(First Revision),0.5814,Current,Relevant,Cold-formed steel members for building construction.
7,We need structural steel sections for a building project.,10,IS 800:2007,General construction in steel - Code of practice (Third Revision),0.5801,Current,Relevant,General construction in steel code for buildings.
8,We need ceramic tiles for flooring in a commercial building.,1,IS 13630 (Part 2):2019,"Ceramic Tiles - Methods of Test, Sampling and Basis for Acceptance Part 2 Determination of Water Absorption and Bulk Density (Second Revision)",0.825,Current,Partially Relevant,"Ceramic tile test method, not a procurement specification."
8,We need ceramic tiles for flooring in a commercial building.,2,IS 13630 (Part 3):2019,"Ceramic Tiles - Methods of Test, Sampling and Basis for Acceptance Part 3 Determination of Moisture Expansion Using Boiling Water (Second Revision)",0.8142,Current,Partially Relevant,"Ceramic tile test method, not a procurement specification."
8,We need ceramic tiles for flooring in a commercial building.,3,IS 1237:2012,Cement Concrete Flooring Tiles - Specification (Second Revision),0.6985,Current,Not Relevant,"Cement concrete flooring tiles, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,4,IS 13801:2013,Chequered Cement Concrete Tiles - Specification (First Revision),0.5315,Current,Not Relevant,"Chequered cement concrete tiles, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,5,IS 12830:1989,Rubber based adhesives for fixing pvc tiles to cement - Specification,0.432,Current,Not Relevant,"Adhesive for PVC tiles, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,6,IS 7779 (Part 2/Sec 3):1979,Schedule for Properties and Availability of Stones for Construction Purposes - Part II : Maharashtra State - Section 3 : Engineering Properties of Stone Aggregates,0.432,Current,Not Relevant,"Stone aggregate properties, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,7,IS 7779 (Part 3/Sec 3):1980,Schedule for Properties and Availability of Stones for Construction Purposes - Part III : TamilNadu State - Section 3 : Engineering Properties of Stone Aggregates,0.406,Current,Not Relevant,"Stone aggregate properties, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,8,IS 7779 (Part 3/Sec 2):1980,Schedule for Properties and Availability of Stones for Construction Purposes - Part III : TamilNadu State - Section 2 : Engineering Properties of Building Stones,0.381,Current,Not Relevant,"Building stone properties, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,9,IS 7779 (Part 5/Sec 1 to 3):1997,Schedule for Properties and Availability of Stones for Construction Purposes - Part 5 : Andhra Pradesh State - Sections 1 to 3,0.3609,Current,Not Relevant,"Stone construction properties, not ceramic tiles."
8,We need ceramic tiles for flooring in a commercial building.,10,IS 7779 (Part 1/Sec 3):1975,Schedule for properties and availability of stones for construction purposes: Part I Gujarat state: Section 3 Engineering properties of stone aggregates,0.3588,Current,Not Relevant,"Stone aggregate properties, not ceramic tiles."
9,We need drinking water quality standards for a water supply project.,1,IS 17614 (Part 5):2021 ISO 5667-5,WATER QUALITY - SAMPLING Part 5 Guidance on sampling of drinking water from treatment works and piped distribution systems,0.825,Current,Partially Relevant,"Drinking-water sampling guidance, not overall quality specification."
9,We need drinking water quality standards for a water supply project.,2,IS 17482:2020,Drinking Water Supply Management System — Requirements for Piped Drinking Water Supply Service,0.6353,Current,Relevant,Direct drinking water supply service requirements.
9,We need drinking water quality standards for a water supply project.,3,IS 17614 (Part 14):2021 ISO 5667-14,Water Quality Sampling Part 14: Guidance on Quality Assurance and Quality Control of Environmental Water Sampling and Handling,0.6338,Current,Partially Relevant,Water quality sampling QA/QC guidance.
9,We need drinking water quality standards for a water supply project.,4,IS 17614 (Part 24):2021 ISO 5667-24,Water Quality Sampling Part 24: Guidance on the Auditing of Water Quality sampling,0.5951,Current,Partially Relevant,Water quality sampling audit guidance.
9,We need drinking water quality standards for a water supply project.,5,IS 17614 (Part 3):2024,Water Quality Sampling Part 3 Preservation and Handling of Water Samples First Revision,0.5904,Current,Partially Relevant,Water sample preservation and handling.
9,We need drinking water quality standards for a water supply project.,6,IS 18283:2023,Portable Field Testing Kit for Onsite Testing of Drinking Water - Specification,0.5802,Not Available,Partially Relevant,Onsite drinking-water testing kit.
9,We need drinking water quality standards for a water supply project.,7,IS 17614 (Part 22):2021 ISO 5667-22,Water Quality Sampling Part 22 Guidance on the Design and Installation of Groundwater Monitoring Points,0.5405,Current,Not Relevant,Groundwater monitoring point guidance.
9,We need drinking water quality standards for a water supply project.,8,IS 16633:2017 ISO 24512,Activities relating to drinking water and wastewater services - Guidelines for the management of drinking water utilities and for the assessment of drinking water services,0.5371,Current,Partially Relevant,Drinking-water utility management guidance.
9,We need drinking water quality standards for a water supply project.,9,IS 13969 (Part 11):2018 ISO 5667-11,Water quality - Sampling: Part 11 guidance on sampling of groundwaters (First Revision),0.537,Current,Not Relevant,Groundwater sampling guidance.
9,We need drinking water quality standards for a water supply project.,10,IS 17614 (Part 6):2021 ISO 5667-6,WATER QUALITY - SAMPLING Part 6 Guidance on sampling of rivers and streams,0.5353,Current,Not Relevant,River and stream sampling guidance.
10,We need welding electrodes for fabrication work.,1,IS 19497:2026,Carbon and Low-Alloy Steel Wire Rods for Submerged Arc Welding and Gas Shielded Arc Welding Electrodes - Specification,0.862,Not Available,Relevant,Directly covers welding-electrode wire rods.
10,We need welding electrodes for fabrication work.,2,IS 17816 (Part 1):2022,IEC 62135-1 : 2015,0.7728,Not Available,Not Relevant,"Electrical welding equipment standard, not electrodes."
10,We need welding electrodes for fabrication work.,3,IS 1395:1982,Specification for low and medium alloy steel covered electrodes for manual metal arc welding (Third Revision,0.7649,Current,Relevant,Direct low/medium alloy steel covered electrode specification.
10,We need welding electrodes for fabrication work.,4,IS 2879:1998,Mild steel for metal arc welding electrodes - Specification (Third Revision),0.7618,Current,Relevant,Direct mild steel welding electrode material specification.
10,We need welding electrodes for fabrication work.,5,IS 15769:2008,Flux cored (Tubular) electrodes for gas shielded and self - Shielded metal welding of carbon or carbon - Manganese steel,0.7522,Current,Relevant,Direct flux-cored electrode specification.
10,We need welding electrodes for fabrication work.,6,IS 10178:1995,Co2 gas shielded metal - Arc welding of structural steels - Recommendations (First Revision),0.7484,Current,Relevant,Welding process guidance for structural steels.
10,We need welding electrodes for fabrication work.,7,IS 16278 (Part 2):2018 ISO 15011-2,"Health and Safety in Welding and Allied Processes à¢â‚¬” Laboratory Method for Sampling Fume and Gases Part 2 Determination of the Emission Rates of Carbon Monoxide (CO), Carbon Dioxide (CO2), Nitrogen Monoxide (NO) and Nitrogen Dioxide (NO2) During Arc Welding, Cutting and Gouging",0.6994,Current,Not Relevant,Welding fume measurement method.
10,We need welding electrodes for fabrication work.,8,IS 9857:1990,Welding cables - Specification (First Revision),0.6743,Current,Not Relevant,Welding cables are not electrodes.
10,We need welding electrodes for fabrication work.,9,IS 10631:1983,Specification for stainless steel for welding electrode core wire,0.6204,Current,Partially Relevant,Stainless steel for welding electrode core wire.
10,We need welding electrodes for fabrication work.,10,IS 16278 (Part 1):2014 ISO 15011-1,Health and safety in welding and allied processes - Laboratory method for sampling fumes and gases: Part 1 determination of fume emission rate during arc welding and collection of fumes for analysis,0.6142,Current,Not Relevant,Welding fume measurement method.
11,We need fire extinguishers for an industrial facility.,1,IS/IEC 60079 (Part 35/Sec 1):2011,Explosive Atmospheres Part 35 Caplights for Use in Mines Susceptible to Firedamp Section 1 General requirements - Construction and testing in Relation to the risk of explosion,0.8234,Current,Not Relevant,"Mine caplight/explosive-atmosphere standard, not extinguishers."
11,We need fire extinguishers for an industrial facility.,2,IS 18990:2024,ISO/TR 22053:2021,0.8039,Not Available,Not Relevant,Does not directly specify fire extinguishers.
11,We need fire extinguishers for an industrial facility.,3,IS 18271:2023,Fire Safety in Commercial Kitchen - Guidelines,0.796,Not Available,Partially Relevant,Fire safety guidance but for commercial kitchens.
11,We need fire extinguishers for an industrial facility.,4,IS 15683:2018,Portable Fire Extinguishers — Performance and Construction — Specification ( First Revision ),0.7948,Current,Relevant,Direct portable fire extinguisher specification.
11,We need fire extinguishers for an industrial facility.,5,IS 16724:2018,"Explosive atmospheres - Electrical installations design, selection and erection",0.7489,Current,Not Relevant,Explosive-atmosphere electrical installation standard.
11,We need fire extinguishers for an industrial facility.,6,IS 3034:1993,Fire Safety of Industrial Buildings: Electrical Generating and Distributing Stations - Code of Practice (Second Revision),0.6039,Current,Partially Relevant,Fire safety code for a specific industrial building type.
11,We need fire extinguishers for an industrial facility.,7,IS 15394:2003,Fire Safety in Petroleum Refineries and Fertilizer Plants - Code of Practice,0.5598,Current,Partially Relevant,Fire safety code for refineries and fertilizer plants.
11,We need fire extinguishers for an industrial facility.,8,IS 11457 (Part 1):1985,Code of practice for fire safety of chemical industries: Part 1 rubber and plastic,0.5223,Current,Partially Relevant,Fire safety code for chemical industries.
11,We need fire extinguishers for an industrial facility.,9,IS 16018:2012,Wheeled fire extinguishers - Performance and construction - Specification,0.5023,Current,Relevant,Direct wheeled fire extinguisher specification.
11,We need fire extinguishers for an industrial facility.,10,IS 16724:2026,IEC 60079 (Part 14):2024,0.4971,Not Available,Not Relevant,Explosive-atmosphere electrical installation standard.
12,We need stainless steel sheets for equipment manufacturing.,1,IS 15104 (Part 2):2002 ISO 8442-2,Materials and articles in contact with foodstuffs - Cutlery and table holloware: Part 2 requirements for stainless steel and silver - Plated cutlery,0.937,Current,Not Relevant,"Stainless steel cutlery, not equipment-manufacturing sheets."
12,We need stainless steel sheets for equipment manufacturing.,2,IS 19472:2026,Steel Sheets and Strips for Hot Stamping Applications - Specification,0.9024,Not Available,Partially Relevant,"Steel sheets for hot stamping, not stainless equipment sheets."
12,We need stainless steel sheets for equipment manufacturing.,3,IS 412:1975,Specification for expanded metal steel sheets for general purposes (Second Revision),0.8868,Current,Partially Relevant,Expanded steel sheets for general purposes.
12,We need stainless steel sheets for equipment manufacturing.,4,IS 15997:2012,"Low nickel austenitic stainless steel plate, sheet, and strip for utensils and kitchen appliances - Specification",0.773,Current,Partially Relevant,Stainless steel sheet/plate/strip for utensils and appliances.
12,We need stainless steel sheets for equipment manufacturing.,5,IS 18809:2024,Wear and abrasion resistant steel sheet and plate - Specification Amendment-1,0.7725,Not Available,Partially Relevant,"Wear-resistant steel sheet/plate, specialized application."
12,We need stainless steel sheets for equipment manufacturing.,6,IS 18385:2023,Hot- Dip galvanized/galvannealed Steels Sheet and strips for Automotive Applications- Specification,0.7083,Current,Not Relevant,Galvanized steel sheets for automotive applications.
12,We need stainless steel sheets for equipment manufacturing.,7,IS 3024:2015,Cold Rolled Grain Oriented Electrical Steel Strip and Sheet Delivered in Fully Processed State (Third Revision),0.7063,Current,Not Relevant,"Electrical steel sheet/strip, specialized application."
12,We need stainless steel sheets for equipment manufacturing.,8,IS 2507:2026,Cold-reduced carbon and alloy steel sheets and strips - Specification,0.6962,Not Available,Not Relevant,Carbon/alloy steel sheets rather than stainless.
12,We need stainless steel sheets for equipment manufacturing.,9,IS 10632 (Part 3):1983,"Specification for non magnetic stainless steels for electrical applications: Part 3 specific requirements for sheets, strips and plates",0.5983,Current,Partially Relevant,Stainless sheets/strips/plates for electrical applications.
12,We need stainless steel sheets for equipment manufacturing.,10,IS 2385:1977,Specification for hot - Rolled mild steel sheet and strip in coil form for cold - Reduced tinplate and cold -Reduced blackplate (First Revision),0.5337,Current,Not Relevant,"Mild steel sheet/strip, not stainless steel."
13,We need packaged drinking water for commercial supply.,1,IS 14543:2024,Packaged Drinking Water Other than Packaged Natural Mineral Water Specification Third Revision,0.7975,Current,Relevant,Direct packaged drinking water specification.
13,We need packaged drinking water for commercial supply.,2,IS 19757:2026,Alternative Drinking Water Service Provision During a Crisis — Guidelines,0.775,Not Available,Not Relevant,"Crisis water service provision guideline, not packaged water."
13,We need packaged drinking water for commercial supply.,3,IS 13428:2024,PACKAGED NATURAL MINERAL WATER - SPECIFICATION Third Revision,0.7554,Current,Relevant,Direct packaged natural mineral water specification.
13,We need packaged drinking water for commercial supply.,4,IS 15410:2025,PLASTIC BOTTLES/CONTAINERS FOR PACKAGING OF NATURAL MINERAL WATER AND PACKAGED DRINKING WATER - SPECIFICATION(first revision),0.6902,Current,Partially Relevant,Packaging containers for packaged drinking water.
13,We need packaged drinking water for commercial supply.,5,IS 15609:2005,Polyethylene flexible pouches for the packing of natural mineral water and packaged drinking water - Specification,0.6761,Current,Partially Relevant,Packaging pouches for drinking water.
13,We need packaged drinking water for commercial supply.,6,IS 18283:2023,Portable Field Testing Kit for Onsite Testing of Drinking Water - Specification,0.6446,Not Available,Partially Relevant,"Testing kit for drinking water, not packaged water."
13,We need packaged drinking water for commercial supply.,7,IS 14660 (Part 2):1999 ISO 5620-2,Shipbuilding - Filling connection for drinking water tanks: Part 2 components,0.6437,Current,Not Relevant,Shipbuilding drinking-water tank filling connection.
13,We need packaged drinking water for commercial supply.,8,IS 18182:2023,Management of Assets in Drinking Water Supply System - Guidelines,0.6334,Not Available,Partially Relevant,Management of drinking-water supply assets.
13,We need packaged drinking water for commercial supply.,9,IS 14660 (Part 1):1999 ISO 5620-1,Shipbuilding - Filling connection for . drinking water tanks: Part 1 general requirements,0.5845,Current,Not Relevant,Shipbuilding drinking-water tank filling connection.
13,We need packaged drinking water for commercial supply.,10,IS 16633:2017 ISO 24512,Activities relating to drinking water and wastewater services - Guidelines for the management of drinking water utilities and for the assessment of drinking water services,0.5789,Current,Partially Relevant,Management and assessment of drinking-water services.
14,We need road construction materials and bitumen.,1,IS 15808:2008,Multi - Grade bitumen for use in pavement construction - Specification Amendment - 1,0.835,Current,Relevant,Direct bitumen specification for pavement construction.
14,We need road construction materials and bitumen.,2,IS/ISO 15642:2003,Road construction and maintenance equipment - Asphalt mixing plants - Rminology and commercial specifications,0.6979,Current,Partially Relevant,Asphalt mixing plant equipment.
14,We need road construction materials and bitumen.,3,IS/ISO 15878:2008,Road Construction and Maintenance Equipment - Asphalt Pavers - Terminology and Commercial Specifications,0.6086,Current,Partially Relevant,Asphalt paver equipment.
